place,date,climate/rainfall,climate/vegetation_cover_(ndvi),climate/price_of_water,climate/river_levels/floods,population_movement/displacement_(arrivals),population_movement/displacement_(departures),nutrition/new_admissions_(gam),health/measles_cases,health/awd/cholera_cases,health/malaria_cases,health/awd/cholera_deaths,market/maize_prices,market/sorghum_prices,market/local_goat_prices,market/wage_labor,market/tot_(wage_to_cereals),market/tot_(goat_to_cereals),market/red_rice_prices,market/cost_of_minimum_basket_(cmb),lat,lon,monthly_arrivals
banadir/mogadishu,Jan-2016,No Data,No Data,No Data,No Data,574,148,-,39,278,316,-,6500,6000,1600000,167500,26,246,12000,2024750,2.042778,45.338564,0
banadir/mogadishu,Feb-2016,No Data,No Data,No Data,No Data,708,32,2511,39,176,369,-,6400,6000,1600000,164000,26,250,12000,2028916.67,2.042778,45.338564,0
banadir/mogadishu,Mar-2016,No Data,No Data,No Data,No Data,656,16,5075,29,193,411,-,6425,5800,1650000,167500,26,257,12000,1960525,2.042778,45.338564,0
banadir/mogadishu,Apr-2016,No Data,No Data,No Data,No Data,498,40,4536,21,159,332,-,7260,6080,1840000,160000,22,253,12000,2033733.75,2.042778,45.338564,0
banadir/mogadishu,May-2016,No Data,No Data,No Data,No Data,716,22,2843,22,222,303,-,8960,6080,1900000,160000,18,212,12000,2065682.5,2.042778,45.338564,0
banadir/mogadishu,Jun-2016,No Data,No Data,No Data,No Data,870,16,1305,141,488,427,-,10325,5950,1850000,160000,15,179,12000,2116902.5,2.042778,45.338564,0
banadir/mogadishu,Jul-2016,No Data,No Data,No Data,No Data,1361,272,-,94,206,161,1,9233,5950,1650000,160000,17,179,11500,2091800,2.042778,45.338564,0
banadir/mogadishu,Aug-2016,No Data,No Data,No Data,No Data,1427,28,-,128,154,163,-,8000,6080,1640000,160000,20,205,11500,2014637.5,2.042778,45.338564,0
banadir/mogadishu,Sep-2016,No Data,No Data,No Data,No Data,772,56,-,137,107,169,-,6225,6600,1775000,117500,19,265,11000,2055952.5,2.042778,45.338564,0
banadir/mogadishu,Oct-2016,No Data,No Data,No Data,No Data,1156,108,-,1565,2200,3639,-,6340,6600,1690000,120000,19,267,11000,2070825.83,2.042778,45.338564,0
banadir/mogadishu,Nov-2016,No Data,No Data,No Data,No Data,19963,17746,-,280,2244,206,-,7650,7725,1662500,130000,17,217,11750,2213850.83,2.042778,45.338564,0
